N_Colmeia,Introdução,COR,Retirada,correto,corrigido,CATEGORIA,CÓDIGO,PESO,DATA
271,107,AMARELO,VERMELHO,0,0,PEQUENA,107,140,26/05/2020
229,108,AMARELO,SM,0,1,PEQUENA,108,110,26/05/2020
220,207,AMARELO,SM,0,1,MÉDIA,207,170,26/05/2020
155,208,AMARELO,SM,0,1,MÉDIA,208,170,26/05/2020
152,307,AMARELO,SM,0,1,GRANDE,307,190,26/05/2020
223,308,AMARELO,SM,0,1,GRANDE,308,180,26/05/2020
81,103,AZUL,AZUL,1,1,PEQUENA,103,120,26/05/2020
218,104,AZUL,AZUL,1,1,PEQUENA,104,130,26/05/2020
64,203,AZUL,RN,0,0,MÉDIA,203,170,26/05/2020
6,204,AZUL,SM,0,1,MÉDIA,204,160,26/05/2020
139,303,AZUL,SM,0,1,GRANDE,303,190,26/05/2020
260,304,AZUL,SM,0,1,GRANDE,304,180,26/05/2020
253,109,BRANCO,SM,0,1,PEQUENA,109,150,26/05/2020
88,110,BRANCO,Z,0,0,PEQUENA,110,120,26/05/2020
109,209,BRANCO,SM,0,1,MÉDIA,209,170,26/05/2020
227,210,BRANCO,BRANCO,1,1,MÉDIA,210,160,26/05/2020
185,309,BRANCO,SM,0,1,GRANDE,309,200,26/05/2020
138,310,BRANCO,SM,0,1,GRANDE,310,180,26/05/2020
134,111,CONTROLE,SM,1,1,PEQUENA,111,150,26/05/2020
22,112,CONTROLE,Z,0,0,PEQUENA,112,140,26/05/2020
146,211,CONTROLE,SM,1,1,MÉDIA,211,170,26/05/2020
69,212,CONTROLE,Z,0,0,MÉDIA,212,160,26/05/2020
53,311,CONTROLE,SM,1,1,GRANDE,311,180,26/05/2020
27,312,CONTROLE,SM,1,1,GRANDE,312,190,26/05/2020
206,101,VERDE,VERDE,1,1,PEQUENA,101,150,26/05/2020
236,102,VERDE,SM,0,1,PEQUENA,102,140,26/05/2020
246,201,VERDE,SM,0,1,MÉDIA,201,170,26/05/2020
267,202,VERDE,VERDE,1,1,MÉDIA,202,160,26/05/2020
204,301,VERDE,VERDE,1,1,GRANDE,301,180,26/05/2020
SN,302,VERDE,VERDE,1,1,GRANDE,302,200,26/05/2020
224,105,VERMELHO,SM,0,1,PEQUENA,105,140,26/05/2020
85,106,VERMELHO,SM,0,1,PEQUENA,106,150,26/05/2020
228,205,VERMELHO,SM,0,1,MÉDIA,205,170,26/05/2020
217,206,VERMELHO,Z,0,0,MÉDIA,206,160,26/05/2020
278,305,VERMELHO,RN,1,1,GRANDE,305,200,26/05/2020
250,306,VERMELHO,Z,0,0,GRANDE,306,180,26/05/2020
271,107,AMARELO,SM,0,1,PEQUENA,107,150,16/07/2020
85,108,AMARELO,SM,0,1,PEQUENA,108,120,16/07/2020
35,207,AMARELO,SM,0,1,MÉDIA,207,170,16/07/2020
218,208,AMARELO,SM,0,1,MÉDIA,208,170,16/07/2020
228,307,AMARELO,SM,0,1,GRANDE,307,190,16/07/2020
267,308,AMARELO,SM,0,1,GRANDE,308,180,16/07/2020
53,103,AZUL,SM,0,1,PEQUENA,103,140,16/07/2020
236,104,AZUL,AZUL,1,1,PEQUENA,104,150,16/07/2020
64,203,AZUL,Z,0,0,MÉDIA,203,160,16/07/2020
246,204,AZUL,AZUL,1,1,MÉDIA,204,160,16/07/2020
134,303,AZUL,SM,0,1,GRANDE,303,200,16/07/2020
SN,304,AZUL,SM,0,1,GRANDE,304,180,16/07/2020
152,109,BRANCO,SM,0,1,PEQUENA,109,120,16/07/2020
260,110,BRANCO,SM,0,1,PEQUENA,110,130,16/07/2020
109,209,BRANCO,SM,0,1,MÉDIA,209,160,16/07/2020
155,210,BRANCO,BRANCO,1,1,MÉDIA,210,170,16/07/2020
224,309,BRANCO,RN,0,0,GRANDE,309,190,16/07/2020
223,310,BRANCO,BRANCO,1,1,GRANDE,310,220,16/07/2020
220,111,CONTROLE,SM,1,1,PEQUENA,111,150,16/07/2020
250,112,CONTROLE,RN,0,0,PEQUENA,112,130,16/07/2020
211,211,CONTROLE,SM,1,1,MÉDIA,211,160,16/07/2020
229,212,CONTROLE,Z,0,0,MÉDIA,212,160,16/07/2020
253,311,CONTROLE,SM,1,1,GRANDE,311,210,16/07/2020
138,312,CONTROLE,SM,1,1,GRANDE,312,190,16/07/2020
206,101,VERDE,SM,0,1,PEQUENA,101,130,16/07/2020
15,102,VERDE,SM,0,1,PEQUENA,102,150,16/07/2020
185,201,VERDE,VERDE,1,1,MÉDIA,201,160,16/07/2020
217,202,VERDE,SM,0,1,MÉDIA,202,160,16/07/2020
146,301,VERDE,SM,0,1,GRANDE,301,180,16/07/2020
227,302,VERDE,SM,0,1,GRANDE,302,190,16/07/2020
204,105,VERMELHO,SM,0,1,PEQUENA,105,150,16/07/2020
27,106,VERMELHO,SM,0,1,PEQUENA,106,150,16/07/2020
81,205,VERMELHO,VERMELHO,1,1,MÉDIA,205,170,16/07/2020
6,206,VERMELHO,VERMELHO,1,1,MÉDIA,206,170,16/07/2020
278,305,VERMELHO,RN,0,0,GRANDE,305,180,16/07/2020
139,306,VERMELHO,SM,0,1,GRANDE,306,180,16/07/2020
133,107,AMARELO,BRANCO,0,0,PEQUENA,107,130,14/10/2020
220,108,AMARELO,AMARELO,1,1,PEQUENA,108,140,14/10/2020
51,207,AMARELO,AMARELO,1,1,MÉDIA,207,170,14/10/2020
267,208,AMARELO,SM,0,0,MÉDIA,208,160,14/10/2020
81,307,AMARELO,AMARELO,1,1,GRANDE,307,200,14/10/2020
85,308,AMARELO,AMARELO,1,1,GRANDE,308,180,14/10/2020
253,103,AZUL,SM,0,1,PEQUENA,103,150,14/10/2020
15,104,AZUL,SM,0,1,PEQUENA,104,140,14/10/2020
278,203,AZUL,Z,0,0,MÉDIA,203,160,14/10/2020
156,204,AZUL,AZUL,1,1,MÉDIA,204,160,14/10/2020
64,303,AZUL,AZUL,1,1,GRANDE,303,200,14/10/2020
229,304,AZUL,AZUL,1,1,GRANDE,304,210,14/10/2020
131,109,BRANCO,SM,0,1,PEQUENA,109,150,14/10/2020
155,110,BRANCO,BRANCO,1,1,PEQUENA,110,140,14/10/2020
109,209,BRANCO,SM,0,1,MÉDIA,209,170,14/10/2020
185,210,BRANCO,BRANCO,1,1,MÉDIA,210,170,14/10/2020
167,309,BRANCO,SM,0,1,GRANDE,309,190,14/10/2020
260,310,BRANCO,BRANCO,1,1,GRANDE,310,200,14/10/2020
58,111,CONTROLE,SM,1,1,PEQUENA,111,130,14/10/2020
223,112,CONTROLE,SM,1,1,PEQUENA,112,150,14/10/2020
228,211,CONTROLE,SM,1,1,MÉDIA,211,160,14/10/2020
236,212,CONTROLE,SM,1,1,MÉDIA,212,170,14/10/2020
43,311,CONTROLE,SM,1,1,GRANDE,311,180,14/10/2020
134,312,CONTROLE,RN,0,0,GRANDE,312,180,14/10/2020
206,101,VERDE,VERDE,1,1,PEQUENA,101,120,14/10/2020
35,102,VERDE,SM,0,1,PEQUENA,102,140,14/10/2020
146,201,VERDE,Z,0,0,MÉDIA,201,170,14/10/2020
204,202,VERDE,SM,0,1,MÉDIA,202,170,14/10/2020
152,301,VERDE,VERDE,1,1,GRANDE,301,190,14/10/2020
6,302,VERDE,VERDE,1,1,GRANDE,302,180,14/10/2020
211,105,VERMELHO,VERMELHO,1,1,PEQUENA,105,150,14/10/2020
250,106,VERMELHO,SM,0,1,PEQUENA,106,130,14/10/2020
53,205,VERMELHO,Z,0,0,MÉDIA,205,160,14/10/2020
141,206,VERMELHO,SM,0,1,MÉDIA,206,170,14/10/2020
271,305,VERMELHO,VERMELHO,1,1,GRANDE,305,190,14/10/2020
224,306,VERMELHO,VERMELHO,1,1,GRANDE,306,180,14/10/2020
